id,full_title,age,view_count,like_count,dislike_count,comment_count,artists
0,Abeba Habtu - Endeminew Wolo - Ethiopian Music 2015 (Official Video),1498,2116611,3452,941,591,ABEBA HABTU
1,Dawit Wordofa - Kibir Yigebal | ክብር ይገባል - New Ethiopian Music 2019 (Official Video),23,65396,1565,523,470,DAWIT WORDOFA
2,Yiftusera Zerihun -  Bos Bos - New Ethiopian Music 2016 (Official Video),1367,12839,33,6,10,YIFTUSERA ZERIHUN
3,Dawit Alemayehu - Ha Lemene | ሀ ለምኔ - New Ethiopian Music 2017 (Official Video),862,5916817,15392,2720,2378,DAWIT ALEMAYEHU
4,Tamrat kahsay - Asey | ኣሰይ (ናፍቆቴን በዜማ) - New Ethiopian Music 2018 (Official Video),308,68402,824,71,144,TAMRAT KAHSAY
5,Wondesen Tesfaye -  Ney Yene Konjo - New Ethiopian Music 2015 (Official Video),1490,7121,19,9,5,WONDESEN TESFAYE
6,MyKey Shewa - Sew Fitun Hot Ethiopian Music Dedicated To all Ethiopias all around the World,2162,17130,48,2,5,MYKEY SHEWA
7,Abela Assefa - Ethiopiawi New | ኢትዮዽያዊ ነው - New Ethiopian Music 2019 (Official Video),54,122980,2651,183,588,ABELA ASSEFA
8,Arada Boyz - Shisha (Hookah)  Ethiopian Hip Hop Music 2013,2442,63506,134,150,-1,ARADA BOYZ
9,Tadele Kefyalew - Wude | ውዴ - New Ethiopian Music 2017 (Official Video),923,24267,105,19,42,TADELE KEFYALEW
10,Robel Tilahun - Meret Ab Memesayu | መሬት ኣብ ምምሳዩ - New Ethiopian Music 2019 (Official Video),6,40946,458,89,79,ROBEL TILAHUN
11,Original & Naod - Wolloyewa | ወሎየዋ - New Ethiopian Music 2018 (Official Video),453,73260,653,79,264,ORIGINAL
12,Original & Naod - Wolloyewa | ወሎየዋ - New Ethiopian Music 2018 (Official Video),453,73260,653,79,264,NAOD
13,Binu Solomon - Endesu Endesua | እንደሱ እንደሷ - New Ethiopian Music 2019 (Official Video),155,108554,1343,91,267,BINU SOLOMON
14,Daangaa H/Elfinesh - Qoree Suqqatee - New Ethiopian Music 2019 (Official Video),259,387157,2079,130,423,DAANGAA H/ELFINESH
15,Micky Gonderegna ft. Comedian Thomas - Enmechach | እንመቻች - New Ethiopian Music 2017 (Official Video),1030,1367408,4926,537,693,MICKY GONDEREGNA
16,Micky Gonderegna ft. Comedian Thomas - Enmechach | እንመቻች - New Ethiopian Music 2017 (Official Video),1030,1367408,4926,537,693,COMEDIAN THOMAS
17,New Ethiopian Music Mimi Addisu (Hamood) 2013 - Konjo / ቆንጆ,2413,87070,82,17,13,MIMI ADDISU
18,Tade Philo - Ere Marekechign | ኧረ ማረከችኝ - New Ethiopian Music 2019 (Official Video),3,15551,586,18,176,TADE PHILO
19,Betelhem Darsema - Befikir Teddy ፩ | በፍቅር ቴዲ ፩ - New Ethiopian Music 2018 (Official Video),313,201793,2880,1125,1569,BETELHEM DARSEMA
20,Dereje Shewakena - Awdamet | አውደአመት - New Ethiopian Music 2018 (Official Video),666,585761,1902,215,259,DEREJE SHEWAKENA
21,Nati Abraham - Kanto | ካንቶ - New Ethiopian Music 2019 (Official Video),260,89330,912,524,518,NATI ABRAHAM
